20833.3340 17100.0000
20900.0000 17066.6660
21600.0000 16500.0000
23616.6660 15866.6670
23700.0000 15933.3330
26133.3340 14500.0000
26550.0000 13850.0000
25149.1660 12365.8330
26150.0000 10550.0000
27233.3340 10450.0000
27166.6660  9833.3330
26733.3340 11683.3330
26283.3340 12766.6670
26433.3340 13433.3330
27096.1110 13415.8330
27153.6110 13203.3330
27026.1110 13051.9440
23883.3340 14533.3330
24166.6660 13250.0000
22683.3340 12716.6670
22183.3340 13133.3330
21300.0000 13016.6670
21600.0000 14966.6670
21600.0000 14150.0000
22583.3340 14300.0000
